Date,District,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,YearMonth
1981-02-03,Dadeldhura,29.3,80.6,0.11,86.03,3.84,46.83,8.79,-2.39,16.06,3.57,12.49,6.12,1.72,3.06,0.33,2.74,1.99,3.22,0.32,2.9,1981,2,1981-02
1981-01-16,Dadeldhura,29.3,80.6,0.0,86.32,3.54,38.81,10.4,-3.17,18.11,5.57,12.54,6.35,1.74,3.38,0.26,3.12,1.89,3.11,0.26,2.85,1981,1,1981-01
1981-11-06,Dadeldhura,29.3,80.6,0.0,85.82,5.71,48.56,14.15,2.98,21.27,9.06,12.21,11.53,1.8,3.48,0.12,3.36,2.07,3.43,0.17,3.26,1981,11,1981-11
1981-02-27,Dadeldhura,29.3,80.6,0.19,85.75,4.92,42.14,14.05,1.08,21.5,7.86,13.63,12.94,2.01,4.58,0.53,4.05,2.53,5.04,0.74,4.29,1981,2,1981-02
1981-07-03,Dadeldhura,29.3,80.6,9.71,84.67,16.46,70.75,24.82,18.9,30.05,20.84,9.21,25.07,2.21,4.59,0.22,4.36,2.74,4.96,0.31,4.65,1981,7,1981-07
1981-03-18,Dadeldhura,29.3,80.6,0.0,85.54,5.53,38.36,17.31,2.8,25.52,9.84,15.68,15.74,2.18,4.66,0.55,4.11,2.41,4.59,0.78,3.81,1981,3,1981-03
1981-04-30,Dadeldhura,29.3,80.6,0.0,85.67,5.96,29.56,22.74,4.01,30.36,16.4,13.96,22.8,2.52,4.86,1.03,3.84,3.18,5.71,1.11,4.6,1981,4,1981-04
1981-06-02,Dadeldhura,29.3,80.6,0.41,85.18,9.5,40.9,24.97,10.54,31.66,18.44,13.22,24.68,2.16,4.48,0.29,4.19,2.49,4.72,0.52,4.2,1981,6,1981-06
1981-05-07,Dadeldhura,29.3,80.6,0.45,85.66,10.08,54.98,21.14,11.48,26.57,16.07,10.49,21.49,1.98,3.4,0.56,2.84,2.26,3.21,0.55,2.66,1981,5,1981-05
1981-07-13,Dailekh,28.8,81.7,15.58,84.29,16.81,89.73,21.16,19.28,23.42,19.28,4.14,21.24,1.66,3.48,0.11,3.37,1.94,3.52,0.15,3.37,1981,7,1981-07
1981-02-03,Dailekh,28.8,81.7,0.03,85.2,4.06,50.3,8.4,-1.74,14.82,3.78,11.04,5.96,1.95,2.98,0.82,2.16,2.19,3.08,0.92,2.16,1981,2,1981-02
1981-01-16,Dailekh,28.8,81.7,0.0,85.5,4.04,45.2,9.97,-1.66,16.54,6.06,10.49,5.89,1.74,3.13,0.26,2.87,1.86,2.76,0.31,2.45,1981,1,1981-01
1981-11-06,Dailekh,28.8,81.7,0.0,85.01,7.08,63.35,13.22,5.96,19.3,8.99,10.31,11.07,1.82,3.32,0.51,2.81,2.03,3.14,0.44,2.7,1981,11,1981-11
1981-02-27,Dailekh,28.8,81.7,0.01,84.95,5.11,45.84,13.19,1.61,20.3,7.77,12.53,12.08,2.07,4.75,0.09,4.66,2.45,4.78,0.19,4.59,1981,2,1981-02
1981-07-03,Dailekh,28.8,81.7,16.37,83.92,17.5,81.25,23.37,19.8,27.36,20.64,6.73,23.68,2.62,4.98,0.84,4.14,3.22,5.31,1.44,3.87,1981,7,1981-07
1981-03-18,Dailekh,28.8,81.7,0.0,84.74,6.26,46.96,15.91,4.48,23.78,8.74,15.03,14.69,2.33,5.01,0.9,4.11,2.58,4.84,1.26,3.57,1981,3,1981-03
1981-04-30,Dailekh,28.8,81.7,0.0,84.9,6.52,35.35,21.12,5.13,27.77,15.07,12.7,20.76,2.21,3.74,0.69,3.05,2.65,3.97,0.82,3.15,1981,4,1981-04
1981-06-02,Dailekh,28.8,81.7,0.41,84.41,9.87,45.28,23.74,11.07,29.92,17.95,11.97,24.08,2.52,4.76,0.92,3.83,2.91,4.76,1.28,3.48,1981,6,1981-06
1981-05-07,Dailekh,28.8,81.7,0.54,84.85,10.27,58.9,20.16,11.77,25.02,15.72,9.3,20.55,1.99,3.68,0.58,3.1,2.24,3.42,0.58,2.83,1981,5,1981-05
1981-07-13,Dang,28.0,82.4,15.87,86.0,16.82,84.04,22.56,19.56,25.84,19.92,5.92,22.9,2.26,5.07,0.48,4.6,2.66,5.23,0.74,4.5,1981,7,1981-07
1981-02-03,Dang,28.0,82.4,0.12,87.0,4.29,50.88,9.31,-0.75,15.98,4.92,11.06,6.82,2.03,3.76,0.34,3.42,2.36,3.74,0.3,3.43,1981,2,1981-02
1981-01-16,Dang,28.0,82.4,0.0,87.31,3.93,41.46,11.12,-1.72,17.74,7.04,10.7,6.88,1.67,3.22,0.36,2.86,1.82,2.86,0.38,2.48,1981,1,1981-01
